Address,BuildingType,City,ComplianceStatus,CouncilDistrictCode,DataYear,DefaultData,Electricity(kBtu),Electricity(kWh),ENERGYSTARScore,GHGEmissionsIntensity,LargestPropertyUseType,LargestPropertyUseTypeGFA,Latitude,ListOfAllPropertyUseTypes,Longitude,NaturalGas(kBtu),NaturalGas(therms),Neighborhood,NumberofBuildings,NumberofFloors,OSEBuildingID,PrimaryPropertyType,PropertyGFABuilding(s),PropertyGFAParking,PropertyGFATotal,PropertyName,SiteEnergyUse(kBtu),SiteEnergyUseWN(kBtu),SiteEUI(kBtu/sf),SiteEUIWN(kBtu/sf),SourceEUI(kBtu/sf),SourceEUIWN(kBtu/sf),State,SteamUse(kBtu),TaxParcelIdentificationNumber,TotalGHGEmissions,YearBuilt,ZipCode
(ID23682) 3204 SW MORGAN ST,Multifamily LR (1-4),Seattle,Compliant,1,2016,false,3601807,1055629.375,96,0.17,Senior Care Community,120513,47.54542,"Restaurant, Senior Care Community",'-122.3734,0,0,South,1,3,23682,Senior Care Community,144682,0,144682,BRIDGE PARK HOLIDAY RETIREMENT,5121586,5333731,35.40000153,36.90000153,0,0,WA,0,3278603190,25.11,2008,98126
10 Harrison St.,NonResidential,Seattle,Compliant,7,2016,false,564754,165520,41,0.16,Office,8061,47.6223,"Office, Parking, Restaurant",'-122.35653,0,0,North,1,4,21459,Mixed Use Property,17824,7308,25132,Century,564754.1875,585965.6875,55.59999847,57.70000076,174.6000061,181.1999969,WA,0,1988200090,3.94,1964,98109
100 20th Ave. E.,Multifamily LR (1-4),Seattle,Compliant,3,2016,false,586848,171995.4063,32,0.2,Multifamily Housing,20368,47.61866,Multifamily Housing,'-122.30572,0,0,Central,1,3,23078,Low-Rise Multifamily,20368,0,20368,Mary Ruth Manor,586848.1875,620477.875,28.79999924,30.5,90.5,95.69999695,WA,0,3043200045,4.09,1972,98122
100 23RD AVE S,NonResidential,Seattle,Compliant,3,2016,false,1128549,330758.6875,93,0.7,Office,30100,47.60104,Office,'-122.30155,380013,3800.129883,Central,1,2,24886,Small- and Mid-Sized Office,39953,0,39953,RCC,1508561.875,1608929.125,50.09999847,53.5,131,135.8999939,WA,0,3646100005,28.05,1971,98144
100 4th Ave N,NonResidential,Seattle,Compliant,7,2016,false,74917352,21957020,100,2.48,Parking,104922,47.61915,"Data Center, Financial Office, Office, Other, Parking, Restaurant",'-122.34857,156525,1565.25,Central,1,6,440,Mixed Use Property,108912,104922,213834,Fisher Plaza - West Building,75073888,75073888,707.2999878,707.2999878,2217.800049,2217.800049,WA,0,1991200170,530.59,2001,98109
100 6th Ave S,Multifamily LR (1-4),Seattle,Compliant,2,2016,false,851651,249604.7031,76,0.22,Multifamily Housing,18799,47.60145,"Multifamily Housing, Parking",'-122.3261,0,0,Central,1,3,26845,Low-Rise Multifamily,27600,0,27600,100 on 6th,851651.1875,903976.875,45.29999924,48.09999847,142.3000031,151,WA,0,5247802050,5.94,1903,98104
100 aloha st,Multifamily LR (1-4),Seattle,Compliant,7,2016,false,983180,288153.6875,90,0.14,Multifamily Housing,43172,47.62762,Multifamily Housing,'-122.35515,0,0,North,1,4,25086,Low-Rise Multifamily,48423,0,48423,100 aloha st.apts,983180.6875,1041490.875,22.79999924,24.10000038,71.5,75.80000305,WA,0,5457300280,6.85,1963,98109
100 Crockett St.,Multifamily LR (1-4),Seattle,Compliant,7,2016,false,2910706,853079,60,1.18,Multifamily Housing,61802,47.63805,Multifamily Housing,'-122.35534,996261,9962.610352,North,1,4,19956,Low-Rise Multifamily,61802,0,61802,Queen Anne Manor,3906967,4192671.5,63.20000076,67.80000305,164.8000031,177.8999939,WA,0,809002696,73.2,1910,98109
100 Melrose Ave E,Multifamily HR (10+),Seattle,Compliant,3,2016,false,5106786,1496713.375,68,0.26,Multifamily Housing,139127,47.61882,Multifamily Housing,'-122.32759,0,0,Central,1,10,27189,High-Rise Multifamily,139127,0,139127,Denny Terrace,5106786.5,5408728.5,36.70000076,38.90000153,115.3000031,122.0999985,WA,0,7449000010,35.6,1969,98102
100 N 85TH ST,NonResidential,Seattle,Compliant,6,2016,false,1187021,347895.9063,95,0.28,Retail Store,51000,47.69061,Retail Store,'-122.35731,111019,1110.190186,North,1,1,24653,Retail Store,51000,0,51000,(ID24653) Greenwood Shopping Center,1298039.875,1330840.875,25.5,26.10000038,75.40000153,75.69999695,WA,0,3626039310,14.17,1953,98103
100 NE Northlake Way,NonResidential,Seattle,Compliant,4,2016,false,2188051,641281,23,0.34,Office,26282,47.65373,"Office, Parking",'-122.32721,0,0,Central,1,3,26761,Small- and Mid-Sized Office,26282,18228,44510,North Lake Office Bldg.,2188051.25,2250450.5,83.30000305,85.59999847,261.3999939,268.8999939,WA,0,4206900485,15.25,2007,98105
100 NW 85th Street,NonResidential,Seattle,Compliant,6,2016,false,13051820,3825269.5,91,2.07,Supermarket/Grocery Store,168735,47.69197,"Parking, Supermarket/Grocery Store",'-122.35877,3814156,38141.5625,North,1,1,732,Supermarket / Grocery Store,106345,35545,141890,70100122-Greenwood,16865978,17384564,100,103,266.6000061,269.7999878,WA,0,9231900160,293.56,1970,98117
